Year,New,Old
2005,9,19
2006,5,18
2006,2,15
2006,13,17
2006,14,13
2006,11,16
2007,12,14
2008,10,12
2009,23,11
2010,15,2
2010,131,23
2012,208,4
2012,207,205
2012,206,166
2015,209,206
2016,4,208
2019,211,10
2019,51,15
2020,213,5
2021,117,211
2021,214,4
